step,total,eta,loss_batch,loss_running,acc1_batch,acc1_running,acc5_batch,acc5_running,iter_time,data_time
0,313,0:11:43,0.7996,0.7996,87.5,87.5,93.75,93.75,2.2477,0.0884
10,313,0:12:40,0.3951,0.4583,93.75,90.3409,100.0,97.1591,2.5105,0.1215
20,313,0:12:06,0.3858,0.4602,87.5,90.1786,100.0,97.619,2.4898,0.1123
30,313,0:11:46,0.3826,0.4747,87.5,89.3145,100.0,97.7823,2.4883,0.0986
40,313,0:11:20,0.2549,0.4405,93.75,90.5488,100.0,98.1707,2.5089,0.0978
50,313,0:10:56,0.2549,0.4376,93.75,91.0539,100.0,98.0392,2.4926,0.0961
60,313,0:10:33,0.377,0.4514,93.75,90.2664,100.0,98.1557,2.528,0.1112
70,313,0:10:07,0.4338,0.499,93.75,88.9965,100.0,98.0634,2.5176,0.115
80,313,0:09:44,0.8879,0.5643,68.75,86.2654,100.0,98.071,2.5144,0.1124
90,313,0:09:18,0.583,0.555,87.5,86.8132,100.0,98.0769,2.5188,0.1075
100,313,0:08:54,0.5373,0.5735,87.5,86.0149,100.0,97.9579,2.5231,0.1
110,313,0:08:29,0.598,0.6081,75.0,85.2477,100.0,97.7477,2.5338,0.1095
120,313,0:08:03,0.598,0.6039,81.25,85.4855,100.0,97.8306,2.4929,0.1011
130,313,0:07:39,0.668,0.6433,81.25,84.3511,100.0,97.8053,2.5053,0.0923
140,313,0:07:13,0.9357,0.6663,75.0,83.6879,100.0,97.6507,2.501,0.0947
150,313,0:06:48,0.7608,0.6674,81.25,83.3195,100.0,97.6407,2.5047,0.0963
160,313,0:06:24,0.7356,0.6857,81.25,82.6087,100.0,97.6708,2.5843,0.1074
170,313,0:06:00,0.8086,0.6932,81.25,82.7851,93.75,97.4781,2.6301,0.1185
180,313,0:05:37,0.5909,0.6863,87.5,83.2528,93.75,97.3757,2.7089,0.1108
190,313,0:05:12,0.1945,0.663,100.0,83.9332,100.0,97.4476,2.6879,0.1022
200,313,0:04:47,0.1226,0.6414,100.0,84.6393,100.0,97.5435,2.6281,0.1011
210,313,0:04:24,0.1203,0.6267,100.0,85.1303,100.0,97.6007,2.831,0.1063
220,313,0:04:01,0.2625,0.6137,93.75,85.5486,100.0,97.681,3.0884,0.1126
230,313,0:03:36,0.4738,0.6193,93.75,85.6061,100.0,97.6461,3.0843,0.1088
240,313,0:03:12,0.5392,0.6141,93.75,85.8402,100.0,97.64,3.0246,0.1058
250,313,0:02:46,0.4095,0.604,93.75,86.1554,100.0,97.7092,2.9394,0.1093
260,313,0:02:20,0.4532,0.6118,93.75,86.1111,100.0,97.6772,2.8784,0.1188
270,313,0:01:54,0.5348,0.6084,87.5,86.2777,100.0,97.6707,2.8233,0.1118
280,313,0:01:27,0.2254,0.5935,93.75,86.6993,100.0,97.7536,2.835,0.1071
290,313,0:01:01,0.2254,0.5871,93.75,86.8342,100.0,97.8093,2.8536,0.1125
300,313,0:00:34,0.2329,0.5774,93.75,87.147,100.0,97.8405,2.6439,0.102
310,313,0:00:07,0.1797,0.5657,100.0,87.4799,100.0,97.8899,2.5016,0.0951
312,313,0:00:02,0.1959,0.5652,100.0,87.5,100.0,97.86,2.4285,0.092
